lead_id,company,domain,email,phone,segment,template_id,amount_example,savings_example,utm_channel,utm_campaign,status,notes
RW-0041,"MCTPay – Payment solutions, Remittance Services",mctpay.sg,sales@mct.com.sg,,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_33_remittance_SG.csv
RW-0044,Wealthgate International Trading PTE LTD,wealthgate.sg,enquiry@wealthgate.sg,,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_33_remittance_SG.csv
RW-0050,Vital Rate Money Changer JB,vitalrate.com.my,info@vitalrate.com.my,+6072244333,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0052,Genesis Money Changer JB,genesisfx.com.my,cs@genesisfx.com.my,+6072444566,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0053,Merlin Money Changer JB City Square,merlin.com.my,info@merlin.com.my,+6072227887,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0054,Lotus Money Changer Aeon Tebrau,lotusfx.my,info@lotusfx.my,+6073551222,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0055,Global Ex Money Changer JB,globalex.my,info@globalex.my,+6072788899,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0056,7-Eleven Money Changer - JB Sentral,7eleven.com.my,feedback@7eleven.com.my,+6072230001,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0063,Al-Amin Money Changer JB,alaminfx.com.my,info@alaminfx.com.my,+6072355566,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0064,Evergreen Money Changer JB,evergreenfx.my,info@evergreenfx.my,+6072667788,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0065,Sunway Money Changer JB,sunwaymoney.com.my,jb@sunwaymoney.com.my,+6072779900,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0066,Kim Yew Money Changer JB,kimyew.com.my,info@kimyew.com.my,+6072233445,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0067,Yahya Awal Money Changer JB,yahyaawal.com.my,info@yahyaawal.com.my,+6072245567,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0068,Tebrau Money Changer,tebraufx.com.my,info@tebraufx.com.my,+6073556678,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0076,Maxis Remittance JB,remittance.maxis.com.my,jb@maxis.com.my,+6072888800,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0078,Bangkok Bank Remittance JB,bangkokbank.com.my,jb@bangkokbank.com.my,+6072223333,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0079,Maybank Remittance JB,maybank.com.my,jb.remit@maybank.com.my,+6072440011,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0080,CIMB Money Changer JB,cimb.com.my,jb.fx@cimb.com.my,+6072334455,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0081,RHB Money Changer JB,rhbgroup.com.my,jb@rhbgroup.com.my,+6072335566,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0083,BSN Money Changer JB,mybsn.com.my,jb@mybsn.com.my,+6072337788,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0086,AEON Credit Remittance JB,aeoncredit.com.my,jb@aeoncredit.com.my,+6072340011,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0087,Jade Money Changer JB,jadefx.com.my,info@jadefx.com.my,+6072341122,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0088,KL Money Changer JB Branch,klmoney.com.my,jb@klmoney.com.my,+6072342233,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0089,City Money Changer JB,cityfx.com.my,info@cityfx.com.my,+6072343344,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0090,Paradise Money Changer JB,paradisefx.my,info@paradisefx.my,+6072344455,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0091,Harbour Money Changer JB,harbourfx.my,info@harbourfx.my,+6072345566,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0092,Skudai Money Changer,skudaifx.my,info@skudaifx.my,+6072346677,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0093,Permas Money Changer,permasfx.my,info@permasfx.my,+6072347788,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0094,Kulai Money Changer,kulaifx.my,info@kulaifx.my,+6072348899,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0095,Senai Money Changer,senaifx.my,info@senaifx.my,+6072349900,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0096,Gelang Patah Money Changer,gelangfx.my,info@gelangfx.my,+6072350011,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0097,Impian Emas Money Changer,impianfx.my,info@impianfx.my,+6072351122,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0098,Ulu Tiram Money Changer,ulutiramfx.my,info@ulutiramfx.my,+6072352233,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0099,Masai Money Changer,masaifx.my,info@masaifx.my,+6072353344,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0100,Kota Tinggi Money Changer,kotatinggifx.my,info@kotatinggifx.my,+6072354455,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0101,Kluang Money Changer,kluangfx.my,info@kluangfx.my,+6072355566,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0102,Muar Money Changer JB Network,muarfx.my,info@muarfx.my,+6072356677,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0103,Batu Pahat Money Changer,batupahatfx.my,info@batupahatfx.my,+6072357788,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0104,Pontian Money Changer,pontianfx.my,info@pontianfx.my,+6072358899,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0105,Segamat Money Changer,segamatfx.my,info@segamatfx.my,+6072359900,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0106,Desaru Money Changer,desarufx.my,info@desarufx.my,+6072360011,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0107,Puteri Harbour Money Changer,puterifx.my,info@puterifx.my,+6072361122,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0108,Medini Money Changer,medinifx.my,info@medinifx.my,+6072362233,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0109,Iskandar Money Changer,iskandarfx.my,info@iskandarfx.my,+6072363344,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0110,Eco Botanic Money Changer,ecobotanicfx.my,info@ecobotanicfx.my,+6072364455,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0111,Mount Austin Money Changer,mountaustinfxx.my,info@mountaustinfxx.my,+6072365566,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0112,Bandar Baru Uda Money Changer,bbu.fx.my,info@bbu.my,+6072366677,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0113,Johor Premium Outlet Money Changer,jpofx.my,info@jpofx.my,+6072367788,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0114,Taman Molek Money Changer,molekfx.my,info@molekfx.my,+6072368899,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0115,Johor Jaya Money Changer,johorjayafx.my,info@johorjayafx.my,+6072369900,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0116,Nusajaya Money Changer,nusajayafx.my,info@nusajayafx.my,+6072370011,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0117,Pasir Gudang Money Changer HQ,pasirgudangfx.my,info@pasirgudangfx.my,+6072371122,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_35_johor_JB.csv
RW-0122,Merlin Money Changer Penang,merlin.com.my,penang@merlin.com.my,+6042295566,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0126,UAE Exchange Penang (LuLu),uaeexchange.com.my,penang@uaeexchange.com.my,+6042269900,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0139,Maybank Penang Remit,maybank.com.my,penang.remit@maybank.com.my,+6042440011,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0145,Jade Money Changer Penang,jadefxpenang.my,info@jadefxpenang.my,+6042341122,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0146,KL Money Changer Penang,klmoney.com.my,penang@klmoney.com.my,+6042342233,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0147,City Money Changer Penang,citypenangfx.my,info@citypenangfx.my,+6042343344,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0148,Paradise Money Changer Penang,paradisefxpenang.my,info@paradisefxpenang.my,+6042344455,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0149,Harbour Penang Money Changer,harbourpenangfx.my,info@harbourpenangfx.my,+6042345566,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0150,Seberang Jaya Money Changer,seberangjayafx.my,info@seberangjayafx.my,+6042346677,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0151,Bayan Lepas Money Changer,bayanlepasfx.my,info@bayanlepasfx.my,+6042347788,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0152,Butterworth Money Changer,butterworthfx.my,info@butterworthfx.my,+6042348899,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0153,Bukit Mertajam Money Changer,bmfx.my,info@bmfx.my,+6042349900,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0154,Nibong Tebal Money Changer,nibongtebalfx.my,info@nibongtebalfx.my,+6042350011,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0155,Balik Pulau Money Changer,balikpulaufx.my,info@balikpulaufx.my,+6042351122,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0156,Tanjung Bungah Money Changer,tanjungbungahfx.my,info@tanjungbungahfx.my,+6042352233,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0157,Air Itam Money Changer,airitamfx.my,info@airitamfx.my,+6042353344,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0158,Jelutong Money Changer,jelutongfx.my,info@jelutongfx.my,+6042354455,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0159,Gelugor Money Changer,gelugorfx.my,info@gelugorfx.my,+6042355566,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0160,Bayan Baru Money Changer,bayanbarufx.my,info@bayanbarufx.my,+6042356677,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0161,Perai Money Changer,peraifx.my,info@peraifx.my,+6042357788,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0162,Prai Money Changer,praifx.my,info@praifx.my,+6042358899,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0163,Kepala Batas Money Changer,kepalabatasfx.my,info@kepalabatasfx.my,+6042359900,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0164,Sungai Petani Money Changer (Penang network),sungaipetanifx.my,info@sungaipetanifx.my,+6042360011,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0165,Alor Setar Money Changer (Penang network),alorsetarfx.my,info@alorsetarfx.my,+6042361122,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0166,Kulim Money Changer,kulimfx.my,info@kulimfx.my,+6042362233,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0167,Taiping Money Changer,taipingfx.my,info@taipingfx.my,+6042363344,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0168,Ipoh Money Changer (Penang corridor),ipohfx.my,info@ipohfx.my,+6042364455,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0169,Gurney Money Changer,gurneyfx.my,info@gurneyfx.my,+6042365566,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0170,Queensbay Money Changer,queensbayfx.my,info@queensbayfx.my,+6042366677,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0171,Prangin Money Changer,pranginfx.my,info@pranginfx.my,+6042367788,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0172,Komtar Money Changer,komtarfx.my,info@komtarfx.my,+6042368899,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0173,George Town Money Changer HQ,georgetownfx.my,info@georgetownfx.my,+6042369900,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0174,Penang Road Money Changer,penangroadfx.my,info@penangroadfx.my,+6042370011,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0175,Chulia Money Changer,chuliafx.my,info@chuliafx.my,+6042371122,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0176,Love Lane Money Changer,lovelanefx.my,info@lovelanefx.my,+6042372233,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0177,Armenian Money Changer,armenianfx.my,info@armenianfx.my,+6042373344,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0178,Beach Street Money Changer,beachstreetfx.my,info@beachstreetfx.my,+6042374455,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0179,Weld Quay Money Changer,weldquayfx.my,info@weldquayfx.my,+6042375566,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0180,Gama Money Changer,gamafx.my,info@gamafx.my,+6042376677,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0181,1st Avenue Money Changer,1stavenuefx.my,info@1stavenuefx.my,+6042377788,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0182,Sunway Carnival Money Changer,sunwaycarnivalfx.my,info@sunwaycarnivalfx.my,+6042378899,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0183,Auto City Money Changer,autocityfx.my,info@autocityfx.my,+6042379900,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0184,Icon City Money Changer,iconcityfx.my,info@iconcityfx.my,+6042380011,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0185,Design Village Money Changer,designvillagefx.my,info@designvillagefx.my,+6042381122,partner,4_moneychanger,5000,304,email,partner,pending,leadjob_36_penang_George.csv
RW-0048,The Food Merchant @Pavilion Embassy,thefoodmerchant.com.my,customerservice@thefoodmerchant.com.my,,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_34_malaysian_KL.csv
RW-0049,MaxMoney Mid Valley Southkey JB,maxmoney.com.my,info@maxmoney.com.my,+6073382863,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0051,My Money Master JB,mymoneymaster.com.my,info@mymoneymaster.com.my,+6073313318,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0058,RIA Money Transfer JB Branch,riafinancial.com.my,jb@riafinancial.com.my,+6072889911,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0059,Western Union JB - KSL,westernunion.com.my,jb.ksl@westernunion.com.my,+6073621122,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0060,Merchantrade JB,merchantrademoney.com.my,info@merchantrademoney.com.my,+6072711223,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0061,ACE Money Transfer JB,acemoneytransfer.com,jb@acemoneytransfer.com,+6072448899,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0062,Instarem JB Partner - Kargo,instarem.com,my@instarem.com,+6073334477,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0070,Wise Partner - JB Hub,wise.com,help@wise.com,+60326032070,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0072,Tranglo JB,tranglo.com,info@tranglo.com,+6072241411,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0073,Ria Financial JB - Aeon,ria.com.my,info@ria.com.my,+6073537788,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0074,MoneyGram JB,moneygram.com.my,jb@moneygram.com.my,+6072445500,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0075,Valyou JB,valyou.com.my,info@valyou.com.my,+6072712234,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0077,SingTel Dash JB Partner,dash.com.sg,jb@dash.com.sg,+6073339900,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0084,Public Bank JB FX,publicbank.com.my,jb.fx@publicbank.com.my,+6072338899,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0085,Affin Bank JB,affinbank.com.my,jb@affinbank.com.my,+6072339900,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_35_johor_JB.csv
RW-0118,MaxMoney Penang - Gurney Plaza,maxmoney.com.my,penang@maxmoney.com.my,+6042290111,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0119,Vital Rate Penang,vitalrate.com.my,penang@vitalrate.com.my,+6042263322,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0120,My Money Master Penang,mymoneymaster.com.my,penang@mymoneymaster.com.my,+6042621122,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0121,Genesis Forex Penang,genesisfx.com.my,penang@genesisfx.com.my,+6042284455,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0123,Lotus Forex Penang,lotusfx.my,penang@lotusfx.my,+6042276677,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0124,Global Ex Penang,globalex.my,penang@globalex.my,+6042297788,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0127,Western Union Penang - Komtar,westernunion.com.my,penang.komtar@westernunion.com.my,+6042611122,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0128,Merchantrade Penang,merchantrademoney.com.my,penang@merchantrademoney.com.my,+6042622233,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0129,ACE Money Transfer Penang,acemoneytransfer.com,penang@acemoneytransfer.com,+6042645566,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0130,RIA Money Penang,ria.com.my,penang@ria.com.my,+6042623344,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0131,MoneyGram Penang,moneygram.com.my,penang@moneygram.com.my,+6042624455,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0132,Valyou Penang,valyou.com.my,penang@valyou.com.my,+6042625566,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0133,Tranglo Penang,tranglo.com,penang@tranglo.com,+6042241411,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0134,Instarem Penang Partner,instarem.com,penang@instarem.com,+6042626677,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0136,Wise Penang Hub,wise.com,penang@wise.com,+60326032070,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0137,CIMB Penang FX,cimb.com.my,penang.fx@cimb.com.my,+6042334455,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0138,Public Bank Penang FX,publicbank.com.my,penang.fx@publicbank.com.my,+6042335566,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0140,RHB Penang,rhbgroup.com.my,penang@rhbgroup.com.my,+6042336677,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0142,BSN Penang,mybsn.com.my,penang@mybsn.com.my,+6042338899,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0143,Affin Bank Penang,affinbank.com.my,penang@affinbank.com.my,+6042339900,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0144,AEON Credit Penang,aeoncredit.com.my,penang@aeoncredit.com.my,+6042340011,freelancer_smb,2_freelancer,1000,79,email,freelancer_smb,pending,leadjob_36_penang_George.csv
RW-0045,Modern Store Indian Grocery (New Outlet),modernstore.com.my,feedback@modernstorekl.com,'+60322741583,my_seller,3_my_seller,5000,304,email,my_seller,pending,leadjob_34_malaysian_KL.csv
